Code;Product label;Exported value in 2004-Q2;Exported value in 2004-Q3;Exported value in 2004-Q4;Exported value in 2005-Q1;Exported value in 2005-Q2;Exported value in 2005-Q3;Exported value in 2005-Q4;Exported value in 2006-Q1;Exported value in 2006-Q2;Exported value in 2006-Q3;Exported value in 2006-Q4;Exported value in 2007-Q1;Exported value in 2007-Q2;Exported value in 2007-Q3;Exported value in 2007-Q4;Exported value in 2008-Q1;Exported value in 2008-Q2;Exported value in 2008-Q3;Exported value in 2008-Q4;Exported value in 2009-Q1;
TOTAL;"All products";2440284;2339207;2682325;2810480;2761899;2580202;3161896;3039461;3418041;3032522;3405264;3691337;3660632;3434303;3911880;4698001;6234253;5379921;3465142;3284411;
;"Leather";67098;72533;68634;83523;79543;88328;69029;86583;85499;91050;81364;105389;96803;104776;93342;125270;118090;114011;74069;102650;
640399;"Footwear with outer soles of rubber, plastics or composition leather, with uppers of leather ...";22625;25974;23670;41494;27284;28844;23396;36944;24972;23502;24520;45162;29027;33594;34032;53213;35945;32252;25148;46407;
640610;"Uppers and parts thereof (excl. stiffeners and general parts made of asbestos)";17322;14901;15911;13521;15304;13928;14338;14105;19618;14781;14724;17086;17743;17278;17732;20357;23966;16577;13847;15057;
640359;"Footwear with outer soles and uppers of leather (excl. covering the ankle, incorporating a ...";2909;2383;4505;3607;3190;2511;3858;3559;2268;2249;3547;7182;3633;2915;3512;6812;4348;3602;3519;6553;
640590;"Footwear with outer soles of rubber or plastics, with uppers other than rubber, plastics, leather ...";174;616;228;502;89;242;52;851;1566;1134;1586;1839;1299;4385;3246;2910;5028;3589;1922;4636;
420330;"Belts and bandoliers, of leather or composition leather";557;906;1377;1417;1858;2077;2137;1822;1642;1878;2310;2579;2156;2425;2567;3648;3808;4544;3652;4326;
420221;"Handbags, whether or not with shoulder straps, incl. those without handles, with outer surface ...";1840;2171;2559;2588;2851;2852;2717;2692;3505;2952;2937;3464;3269;4038;3013;4764;3749;4404;2857;3283;
640391;"Footwear with outer soles of rubber, plastics or composition leather, with uppers of leather, ...";2402;5130;2423;540;6559;11770;3079;1189;6977;15788;5371;2091;10317;13158;4537;2934;13382;22083;1835;3111;
640699;"Parts of footwear (excluding outer soles and heels of rubber or plastics, uppers and parts ...";484;366;537;2326;487;1731;1485;2508;2064;1108;4013;1872;5458;2331;4459;4509;3354;2411;3010;2371;
640510;"Footwear with uppers of leather or composition leather (excl. with outer soles of rubber, plastics, ...";1688;5160;2122;2502;2307;4396;2182;4835;3771;7564;4108;5992;5372;5801;2103;4912;3679;5464;3749;1907;
640419;"Footwear with outer soles of rubber or plastics and uppers of textile materials (excl. sports ...";2867;1169;1173;2849;2759;1713;450;2102;1749;1017;313;2095;1952;152;338;2712;1024;224;122;1826;
640411;"Sports footwear, incl. tennis shoes, basketball shoes, gym shoes, training shoes and the like, ...";0;20;1;10;14;62;11;36;30;22;126;14;10;13;46;95;679;636;453;1766;
640192;"Waterproof footwear covering the ankle, but not the knee, with outer soles and uppers of rubber ...";569;651;887;800;953;1079;813;575;853;712;813;1234;1070;677;1228;1471;1398;913;1283;1673;
420310;"Articles of apparel, of leather or composition leather (excl. clothing accessories, footware ...";5466;6710;5508;1521;3129;8484;4230;1484;3046;5270;4062;1962;2904;6564;3926;1538;3736;4292;2786;1489;
640299;"Footwear with outer soles and uppers of rubber or plastics (excl. covering the ankle or with ...";608;120;229;625;237;87;255;547;379;219;497;1478;964;566;680;1765;1081;753;463;1274;
640520;"Footwear with uppers of textile materials (excl. with outer soles of rubber, plastics, leather ...";434;427;351;836;527;939;441;1564;703;543;449;714;643;503;713;893;1048;1356;784;904;
420500;"Articles of leather or composition leather (excl. saddlery and harness bags; cases and similar ...";734;544;856;1123;880;449;985;755;1385;1141;985;834;918;713;750;437;609;343;458;717;
420329;"Gloves, mittens and mitts, of leather or composition leather (excl. special sports gloves)";1183;942;1066;1087;1491;1138;1326;861;1041;755;886;972;984;610;969;957;996;605;383;686;
640620;"Outer soles and heels, of rubber or plastics";421;175;244;184;1668;239;1648;280;606;1867;2103;3163;3163;2223;2482;3710;2417;1864;2419;670;
420231;"Wallets, purses, key-pouches, cigarette-cases, tobacco-pouches and similar articles carried ...";264;312;466;174;247;168;234;253;313;270;633;675;747;828;925;1176;1122;771;678;619;
420100;"Saddlery and harness for any animal, incl. traces, leads, knee pads, muzzles, saddle cloths, ...";498;409;477;442;598;531;629;604;618;547;703;728;729;582;733;805;911;699;637;567;
420211;"Trunks, suitcases, vanity cases, executive-cases, briefcases, school satchels and similar containers, ...";528;736;951;817;1010;728;706;671;716;875;844;888;1081;754;628;1006;894;743;855;560;
640319;"Sports footwear, with outer soles of rubber, plastics, leather or composition leather and uppers ...";147;169;196;352;431;686;233;370;449;506;474;1925;394;581;646;1613;585;413;360;534;
420299;"Travelling-bags, shopping or tool bags, jewellery boxes, cutlery cases and similar, with outer ...";164;89;66;66;202;217;236;312;412;172;3373;139;136;215;319;341;253;224;107;350;
420222;"Handbags, whether or not with shoulder straps, incl. those without handles, with outer surface ...";305;132;175;279;85;143;157;96;61;61;96;133;128;76;131;324;481;301;349;284;
640340;"Footwear, incorporating a protective metal toecap, with outer soles of rubber, plastics, leather ...";128;177;254;237;247;153;317;223;592;245;420;196;316;445;385;390;600;388;426;212;
