Code;Product label;Exported value in 2000-Q1;Exported value in 2000-Q2;Exported value in 2000-Q3;Exported value in 2000-Q4;Exported value in 2001-Q1;Exported value in 2001-Q2;Exported value in 2001-Q3;Exported value in 2001-Q4;Exported value in 2002-Q1;Exported value in 2002-Q2;Exported value in 2002-Q3;Exported value in 2002-Q4;Exported value in 2003-Q1;Exported value in 2003-Q2;Exported value in 2003-Q3;Exported value in 2003-Q4;Exported value in 2004-Q1;Exported value in 2004-Q2;
030542;"Smoked herring "Clupea harengus, Clupea pallasii", incl. fillets (excl. offal)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
030549;"Smoked fish, incl. fillets (excl. offal, Pacific salmon, Atlantic salmon, Danube salmon, herring, ...";0;0;0;0;0;3;0;222;52;0;32;48;0;0;28;0;0;0;
030551;"Dried cod "Gadus morhua, Gadus ogac, Gadus macrocephalus", even salted, not smoked (excl. fillets ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
030561;"Herring (Clupea harengus, Clupea pallasii), only salted or in brine (excl. fillets and offal)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;
030562;"Cod "Gadus morhua, Gadus ogac, Gadus macrocephalus", salted or in brine only (excl. fillets ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
030569;"Fish, salted or in brine only (excl. fillets, offal, herring, cod, anchovies, tilapia, catfish, ...";6;0;0;7;0;0;33;0;26;20;0;1;10;0;0;64;33;0;
030571;"Shark fins, smoked, dried, salted or in brine";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
030572;"Fish heads, tails and maws, smoked, dried, salted or in brine";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
030612;"Frozen lobsters "Homarus spp.", even smoked, whether in shell or not, incl. lobsters in shell, ...";0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;5;0;
030615;"Frozen Norway lobsters "Nephrops norvegicus", even smoked, whether in shell or not, incl. lobsters ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
030616;"Frozen cold-water shrimps and prawns "Pandalus spp., Crangon crangon", even smoked, whether ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
030617;"Frozen shrimps and prawns, even smoked, whether in shell or not, incl. shrimps and prawns in ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
030619;"Frozen crustaceans, even smoked, fit for human consumption, whether in shell or not, incl. ...";53;19;8;0;0;5;5;14;5;3;28;0;0;0;8;32;0;0;
030625;"Norway lobsters "Nephrops norvegicus", even smoked, whether in shell or not, live, fresh, chilled, ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
030626;"Cold-water shrimps and prawns "Pandalus spp., Crangon crangon", even smoked, whether in shell ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
030627;"Shrimps and prawns, even smoked, whether in shell or not, live, fresh, chilled, dried, salted ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
030631;"Rock lobster and other sea crawfish "Palinurus spp., Panulirus spp. and Jasus spp.", whether ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
030632;"Lobsters "Homarus spp.", whether in shell or not, live, fresh or chilled";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
030633;"Crabs, whether in shell or not, live, fresh or chilled";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
030634;"Norway lobsters "Nephrops norvegicus", whether in shell or not, live, fresh or chilled";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
